sub_category,product_name,product_price,product_manufactured
Human Insulins And Analogues,Humalog Mix 25 Kwikpen 100IU/ml,₹795.6,Eli Lilly and Company India Pvt Ltd
Human Insulins And Analogues,Novomix 50 Suspension for Injection 100IU/ml,₹765,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Eglucent Mix 50 100IU/ml Suspension for Injection,₹633.25,Lupin Ltd
Human Insulins And Analogues,Fiasp 100IU/ml Solution for Injection,₹1561.87,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Humstard 30/70 Injection 40IU/ml,₹133.41,Cadila Pharmaceuticals Ltd
Human Insulins And Analogues,Huminsulin  50/50 Suspension for Injection 40IU/ml,₹133.45,Eli Lilly and Company India Pvt Ltd
Human Insulins And Analogues,Eglucent Mix 25 Kwikpen 100IU/ml,₹723.35,Lupin Ltd
Insulin Analogues Basal,Lantus 100IU/ml Solution for Injection,₹614.16,Sanofi India  Ltd
Insulin Analogues Basal,Lantus Solostar 100IU/ml Solution for Injection,₹934.24,Sanofi India  Ltd
Insulin Analogues Basal,Lantus 100IU/ml Injection,₹2535.56,Sanofi India  Ltd
Insulin Analogues Basal,Basalog 100IU/ml Injection,₹479.87,Biocon
Insulin Analogues Basal,Basalog 100IU/ml Refill Cartridge,₹500,Biocon
Insulin Analogues Basal,Tresiba 100 Units/ml Penfill,₹1224,Novo Nordisk India Pvt Ltd
Insulin Analogues Basal,Toujeo 300 U/mL Solostar,₹1556.63,Sanofi India  Ltd
Insulin Analogues Basal,Basaglar 100 Units/ml Cartridge,₹514.25,Cipla Ltd
Insulin Analogues Basal,Tresiba 100IU/ml Flextouch,₹1650.7,Novo Nordisk India Pvt Ltd
Insulin Analogues Basal,Glaritus 100IU/ml Injection,₹1623.92,Wockhardt Ltd
Insulin Analogues Basal,Basugine 100IU/ml Injection,₹505.58,Lupin Ltd
Insulin Analogues Basal,Glaritus 100IU/ml Injection 3ml,₹1178.1,Wockhardt Ltd
Insulin Analogues Basal,Basalog 100IU/ml Injection,₹605.7,Biocon
Insulin Analogues Basal,Basaglar 100IU/ml Kwikpen,₹794.75,Cipla Ltd
Insulin Analogues Basal,Levemir 100IU/ml Flexpen,₹1120.3,Novo Nordisk India Pvt Ltd
Insulin Analogues Basal,Basalog One 100IU/ml Injection,₹699.63,Biocon
Insulin Analogues Basal,Basalog 100IU/ml Refill Cartridge,₹1416.63,Biocon
Insulin Analogues Basal,Glaritus 100IU/ml Dispopen,₹718.68,Wockhardt Ltd
Insulin Analogues Basal,Basalog 100IU/ml Injection,₹699.63,Biocon
Insulin Analogues Basal,Basugine 100IU Injection,,Lupin Ltd
Insulin Analogues Basal,Glaritus 100IU/ml Injection,₹487.05,Wockhardt Ltd
Insulin Analogues Basal,Glarvia 100IU/ml Injection,,Pfizer Ltd
Insulin Analogues Basal,Glaritus 40IU/ml Injection,₹971.43,Wockhardt Ltd
Insulin Analogues Rapid,Humalog 100IU/ml Solution for Injection,₹633.25,Eli Lilly and Company India Pvt Ltd
Insulin Analogues Rapid,Apidra 100IU Cartridge,₹535.07,Sanofi India  Ltd
Insulin Analogues Rapid,Apidra Solostar 100IU/ml Injection,₹680.29,Sanofi India  Ltd
Insulin Analogues Rapid,Eglucent Rapid 100IU/ml Solution for Injection,₹633.25,Lupin Ltd
Insulin Analogues Rapid,Humalog 100IU/ml Kwikpen,₹795.6,Eli Lilly and Company India Pvt Ltd
Insulin Analogues Rapid,Apidra 100IU/ml Solution for Injection,₹1078.03,Sanofi India  Ltd
Insulin Analogues Rapid,Apidra Solostar 300IU/ml Injection,,Sanofi India  Ltd
Insulin Analogues Rapid,Eglucent Rapid 100IU/ml Kwikpen,₹723.35,Lupin Ltd
Insulin Analogues Rapid,Eglucent Kwikpen,₹723.35,Lupin Ltd
Insulin Analogues Rapid,Humalog 200IU/ml Kwikpen,₹1186.6,Eli Lilly and Company India Pvt Ltd
Oral Antidiabetics,Janumet 50 mg/500 mg Tablet,₹323,MSD Pharmaceuticals Pvt Ltd
Oral Antidiabetics,Nefrosave Tablet,₹156.02,Fourrts India Laboratories Pvt Ltd
Oral Antidiabetics,Glycomet-GP 1 Tablet PR,₹82.14,USV Ltd
Oral Antidiabetics,Glycomet 500 SR Tablet,₹36.36,USV Ltd
Oral Antidiabetics,Glycomet-GP 2 Tablet PR,₹120.66,USV Ltd
Oral Antidiabetics,Istamet 50mg/500mg Tablet,₹322.57,Sun Pharmaceutical Industries Ltd
Oral Antidiabetics,Gemer 1 Tablet PR,₹65.66,Sun Pharmaceutical Industries Ltd
Oral Antidiabetics,Oxra 10mg Tablet,₹682.47,Sun Pharmaceutical Industries Ltd
Oral Antidiabetics,Glyciphage SR 500mg Tablet,₹18.02,Franco-Indian Pharmaceuticals Pvt Ltd
Oral Antidiabetics,Remo Tablet,₹111.35,Glenmark Pharmaceuticals Ltd
Oral Antidiabetics,Trajenta 5mg Tablet,₹416.5,Boehringer Ingelheim
Oral Antidiabetics,Galvus Met 50mg/500mg Tablet,₹255,Novartis India Ltd
Oral Antidiabetics,Jardiance 25mg Tablet,₹528.7,Boehringer Ingelheim
Oral Antidiabetics,Janumet 50mg/1000mg Tablet,₹331.5,MSD Pharmaceuticals Pvt Ltd
Oral Antidiabetics,Dynaglipt Tablet,₹60.77,Mankind Pharma Ltd
Oral Antidiabetics,Amaryl 1mg Tablet,₹102.14,Sanofi India  Ltd
Oral Antidiabetics,Ondero 5mg Tablet,₹416.5,Lupin Ltd
Oral Antidiabetics,Jalra 50mg Tablet,₹255,USV Ltd
Oral Antidiabetics,Glycomet Trio 2 Tablet SR,₹158.52,USV Ltd
Oral Antidiabetics,Diamicron XR 60 Tablet,₹160.65,Serdia Pharmaceuticals India Pvt Ltd
Oral Antidiabetics,Forxiga 10mg Tablet,₹682.47,AstraZeneca
Oral Antidiabetics,Glimestar-M 1 Tablet PR,₹50.86,Mankind Pharma Ltd
Oral Antidiabetics,Dynaglipt-M Tablet SR,₹88.82,Mankind Pharma Ltd
Oral Antidiabetics,Sgltr Tablet,₹107.1,Mankind Pharma Ltd
Oral Antidiabetics,Glycomet 1gm Tablet SR,₹51.98,USV Ltd
Oral Antidiabetics,Gemer 2 Tablet PR,₹96.05,Sun Pharmaceutical Industries Ltd
Oral Antidiabetics,Glycomet Tablet,₹14.28,USV Ltd
Oral Antidiabetics,Amaryl M  1mg Tablet PR,₹134.05,Sanofi India  Ltd
Oral Antidiabetics,Galvus 50mg Tablet,₹254.15,Novartis India Ltd
Oral Antidiabetics,Glizid-M Tablet,₹118.66,Panacea Biotec Ltd
Oral Antidiabetics,Glynase-MF Tablet,₹14.32,USV Ltd
Oral Antidiabetics,Jalra-M  50mg/500mg Tablet,₹234.92,USV Ltd
Oral Antidiabetics,Sulisent 100mg Tablet,₹466.65,USV Ltd
Oral Antidiabetics,Gluconorm SR 500mg Tablet,₹26.77,Lupin Ltd
Oral Antidiabetics,Glykind-M Tablet,₹62.74,Mankind Pharma Ltd
Oral Antidiabetics,Januvia 100mg Tablet,₹267.75,MSD Pharmaceuticals Pvt Ltd
Oral Antidiabetics,Gluconorm G2 Tablet PR,₹184.53,Lupin Ltd
Oral Antidiabetics,Gibtulio 25mg Tablet,₹528.7,Lupin Ltd
Oral Antidiabetics,Glycomet-GP 2 Forte Tablet SR,₹84.78,USV Ltd
Oral Antidiabetics,Tenlimac Tablet,₹58.65,Macleods Pharmaceuticals Pvt Ltd
Oral Antidiabetics,Janumet 50 mg/500 mg Tablet,₹323,MSD Pharmaceuticals Pvt Ltd
Oral Antidiabetics,Nefrosave Tablet,₹156.02,Fourrts India Laboratories Pvt Ltd
Oral Antidiabetics,Glycomet-GP 1 Tablet PR,₹82.14,USV Ltd
Oral Antidiabetics,Glycomet 500 SR Tablet,₹36.36,USV Ltd
Oral Antidiabetics,Glycomet-GP 2 Tablet PR,₹120.66,USV Ltd
Oral Antidiabetics,Istamet 50mg/500mg Tablet,₹322.57,Sun Pharmaceutical Industries Ltd
Oral Antidiabetics,Gemer 1 Tablet PR,₹65.66,Sun Pharmaceutical Industries Ltd
Oral Antidiabetics,Oxra 10mg Tablet,₹682.47,Sun Pharmaceutical Industries Ltd
Oral Antidiabetics,Glyciphage SR 500mg Tablet,₹18.02,Franco-Indian Pharmaceuticals Pvt Ltd
Oral Antidiabetics,Remo Tablet,₹111.35,Glenmark Pharmaceuticals Ltd
Oral Antidiabetics,Trajenta 5mg Tablet,₹416.5,Boehringer Ingelheim
Oral Antidiabetics,Galvus Met 50mg/500mg Tablet,₹255,Novartis India Ltd
Oral Antidiabetics,Jardiance 25mg Tablet,₹528.7,Boehringer Ingelheim
Oral Antidiabetics,Janumet 50mg/1000mg Tablet,₹331.5,MSD Pharmaceuticals Pvt Ltd
Oral Antidiabetics,Dynaglipt Tablet,₹60.77,Mankind Pharma Ltd
Oral Antidiabetics,Amaryl 1mg Tablet,₹102.14,Sanofi India  Ltd
Oral Antidiabetics,Ondero 5mg Tablet,₹416.5,Lupin Ltd
Oral Antidiabetics,Jalra 50mg Tablet,₹255,USV Ltd
Oral Antidiabetics,Glycomet Trio 2 Tablet SR,₹158.52,USV Ltd
Oral Antidiabetics,Diamicron XR 60 Tablet,₹160.65,Serdia Pharmaceuticals India Pvt Ltd
Oral Antidiabetics,Forxiga 10mg Tablet,₹682.47,AstraZeneca
Oral Antidiabetics,Glimestar-M 1 Tablet PR,₹50.86,Mankind Pharma Ltd
Oral Antidiabetics,Dynaglipt-M Tablet SR,₹88.82,Mankind Pharma Ltd
Oral Antidiabetics,Sgltr Tablet,₹107.1,Mankind Pharma Ltd
Oral Antidiabetics,Glycomet 1gm Tablet SR,₹51.98,USV Ltd
Oral Antidiabetics,Gemer 2 Tablet PR,₹96.05,Sun Pharmaceutical Industries Ltd
Oral Antidiabetics,Glycomet Tablet,₹14.28,USV Ltd
Oral Antidiabetics,Amaryl M  1mg Tablet PR,₹134.05,Sanofi India  Ltd
Oral Antidiabetics,Galvus 50mg Tablet,₹254.15,Novartis India Ltd
Oral Antidiabetics,Glizid-M Tablet,₹118.66,Panacea Biotec Ltd
Oral Antidiabetics,Glynase-MF Tablet,₹14.32,USV Ltd
Oral Antidiabetics,Jalra-M  50mg/500mg Tablet,₹234.92,USV Ltd
Oral Antidiabetics,Sulisent 100mg Tablet,₹466.65,USV Ltd
Oral Antidiabetics,Gluconorm SR 500mg Tablet,₹26.77,Lupin Ltd
Oral Antidiabetics,Glykind-M Tablet,₹62.74,Mankind Pharma Ltd
Oral Antidiabetics,Januvia 100mg Tablet,₹267.75,MSD Pharmaceuticals Pvt Ltd
Oral Antidiabetics,Gluconorm G2 Tablet PR,₹184.53,Lupin Ltd
Oral Antidiabetics,Gibtulio 25mg Tablet,₹528.7,Lupin Ltd
Oral Antidiabetics,Glycomet-GP 2 Forte Tablet SR,₹84.78,USV Ltd
Oral Antidiabetics,Tenlimac Tablet,₹58.65,Macleods Pharmaceuticals Pvt Ltd
Oral Antidiabetics,Janumet 50 mg/500 mg Tablet,₹323,MSD Pharmaceuticals Pvt Ltd
Oral Antidiabetics,Nefrosave Tablet,₹156.02,Fourrts India Laboratories Pvt Ltd
Oral Antidiabetics,Glycomet-GP 1 Tablet PR,₹82.14,USV Ltd
Oral Antidiabetics,Glycomet 500 SR Tablet,₹36.36,USV Ltd
